date,metric,label,value
2025-06-26,Clients,Geth,35
2025-06-26,Clients,Nethermind,211
2025-06-26,Clients,OpenEthereum,1
2025-06-26,Clients,besu,7
2025-06-26,Clients,erigon,37
2025-06-26,Clients,reth,2
2025-06-26,Country,,28
2025-06-26,Country,AE,1
2025-06-26,Country,AR,6
2025-06-26,Country,AT,2
2025-06-26,Country,AU,10
2025-06-26,Country,BE,13
2025-06-26,Country,BG,2
2025-06-26,Country,BR,1
2025-06-26,Country,CA,9
2025-06-26,Country,CH,17
2025-06-26,Country,CN,1
2025-06-26,Country,CZ,2
2025-06-26,Country,DE,32
2025-06-26,Country,DK,1
2025-06-26,Country,EC,1
2025-06-26,Country,EE,2
2025-06-26,Country,ES,11
2025-06-26,Country,FI,16
2025-06-26,Country,FR,22
2025-06-26,Country,GB,7
2025-06-26,Country,GI,1
2025-06-26,Country,HK,3
2025-06-26,Country,HU,1
2025-06-26,Country,IE,2
2025-06-26,Country,JP,4
2025-06-26,Country,NG,1
2025-06-26,Country,NL,10
2025-06-26,Country,NO,2
2025-06-26,Country,PL,1
2025-06-26,Country,RO,1
2025-06-26,Country,RU,2
2025-06-26,Country,SE,3
2025-06-26,Country,SG,8
2025-06-26,Country,SI,1
2025-06-26,Country,TH,1
2025-06-26,Country,TR,1
2025-06-26,Country,UA,1
2025-06-26,Country,US,66
2025-06-26,Platform,linux-amd64,69
2025-06-26,Platform,linux-arm64,10
2025-06-26,Platform,linux-x64,200
2025-06-26,Platform,linux-x86_64,7
2025-06-26,Platform,windows-amd64,1
2025-06-26,Platform,windows-x64,3
2025-06-26,Platform,x86_64-linux-gnu,1
2025-06-26,Platform,x86_64-unknown-linux-gnu,2
2025-06-26,Provider,,28
2025-06-26,Provider,AWS,1
2025-06-26,Provider,Akamai,1
2025-06-26,Provider,Alibaba Cloud,1
2025-06-26,Provider,Carrier/Transit,6
2025-06-26,Provider,Google,9
2025-06-26,Provider,Hetzner,26
2025-06-26,Provider,Hosting/CDN (Other),6
2025-06-26,Provider,OVHcloud,30
2025-06-26,Provider,Oracle Cloud,2
2025-06-26,Provider,Public ISP (Home/Office),181
2025-06-26,Provider,Scaleway,2
2025-06-27,Clients,Geth,34
2025-06-27,Clients,Nethermind,226
2025-06-27,Clients,OpenEthereum,1
2025-06-27,Clients,besu,7
2025-06-27,Clients,erigon,34
2025-06-27,Clients,reth,2
2025-06-27,Country,,33
2025-06-27,Country,AD,1
2025-06-27,Country,AE,1
2025-06-27,Country,AR,5
2025-06-27,Country,AT,2
2025-06-27,Country,AU,7
2025-06-27,Country,BE,13
2025-06-27,Country,BG,2
2025-06-27,Country,BR,1
2025-06-27,Country,CA,9
2025-06-27,Country,CH,12
2025-06-27,Country,CN,1
2025-06-27,Country,CZ,2
2025-06-27,Country,DE,32
2025-06-27,Country,DK,1
2025-06-27,Country,EE,1
2025-06-27,Country,ES,8
2025-06-27,Country,FI,19
2025-06-27,Country,FR,24
2025-06-27,Country,GB,9
2025-06-27,Country,HK,3
2025-06-27,Country,HU,1
2025-06-27,Country,IE,1
2025-06-27,Country,JP,4
2025-06-27,Country,NG,1
2025-06-27,Country,NL,13
2025-06-27,Country,NO,1
2025-06-27,Country,NZ,1
2025-06-27,Country,PL,3
2025-06-27,Country,RO,1
2025-06-27,Country,RU,2
2025-06-27,Country,SE,2
2025-06-27,Country,SG,10
2025-06-27,Country,TH,1
2025-06-27,Country,TR,1
2025-06-27,Country,UA,4
2025-06-27,Country,US,72
2025-06-27,Platform,linux-amd64,67
2025-06-27,Platform,linux-arm64,9
2025-06-27,Platform,linux-x64,216
2025-06-27,Platform,linux-x86_64,7
2025-06-27,Platform,windows-amd64,1
2025-06-27,Platform,windows-x64,1
2025-06-27,Platform,x86_64-linux-gnu,1
2025-06-27,Platform,x86_64-unknown-linux-gnu,2
2025-06-27,Provider,,33
2025-06-27,Provider,AWS,2
2025-06-27,Provider,Akamai,5
2025-06-27,Provider,Alibaba Cloud,1
2025-06-27,Provider,Carrier/Transit,5
2025-06-27,Provider,Google,9
2025-06-27,Provider,Hetzner,27
2025-06-27,Provider,Hosting/CDN (Other),6
2025-06-27,Provider,OVHcloud,32
2025-06-27,Provider,Oracle Cloud,1
